Species,Size_Class,Primary_Color,Bill_Color,Leg_Color,Neck_Shape,Habitat_Context,Special_Feature
Grey Heron,Large,Grey,Yellow,Brown_Yellow,Long_S_Shape,Water_Edge,Black_Head_Plumes
Purple Heron,Large,Purple_Rufous,Yellow,Brown_Yellow,Snake_Like,Reeds_Marsh,Dark_Stripes_On_Neck
Great Egret,Large,White,Yellow,Black,Kinky,Water_Edge,Neck_Longer_Than_Body
Intermediate Egret,Medium,White,Yellow,Black,S_Shape,Grassland_Water,Black_Tip_On_Bill
Little Egret,Small,White,Black,Black,Slender,Water_Edge,Yellow_Feet
Cattle Egret,Small,White,Yellow,Black_Green,Thick_Short,Grassland_Fields,Orange_Plumes_Breeding
Striated Heron,Small,Grey_Green,Black_Yellow,Yellow_Green,Hunched,Canals_Mangroves,Dark_Cap
Black-crowned Night Heron,Medium,Grey_White,Black,Yellow_Green,Stocky,Roosting_Trees,Red_Eye
Yellow Bittern,Small,Yellow_Buff,Yellow,Greenish,Thick,Reeds,Black_Wing_Tips_In_Flight
Cinnamon Bittern,Small,Red_Brown,Yellow,Greenish,Thick,Reeds,Uniform_Rufous_Color
Chinese Pond Heron,Medium,Brown_Streaked,Yellow_Black,Greenish,Stocky,Grassland_Marsh,White_Wings_In_Flight
