id,date_observed,time_observed,latitude,longitude,common_name
1,29/06/2016,03:05:58,1.444722176,103.7344437,Red Junglefowl
2,28/08/2016,01:45:16,1.26444447,103.8038864,Red Junglefowl
3,24/11/2017,10:03:52,1.30694449,103.8166656,Red Junglefowl
4,20/01/2018,07:46:00,1.320572273,103.8164362,Red Junglefowl
5,30/01/2018,01:43:16,1.37573473,103.9508219,Red Junglefowl
6,29/10/2018,21:58:50,1.322043744,103.8152493,Red Junglefowl
7,24/10/2018,09:48:03,1.297335321,103.8469644,Red Junglefowl
8,11/02/2019,05:52:17,1.294766422,103.8448642,Red Junglefowl
9,03/03/2019,07:26:43,1.28227317,103.8191982,Red Junglefowl
10,03/11/2018,10:22:09,1.381726391,103.9479583,Red Junglefowl
11,05/04/2019,04:40:56,1.31083703,103.8136063,Red Junglefowl
12,05/04/2019,04:27:26,1.309162974,103.8139267,Red Junglefowl
13,25/04/2019,04:47:43,1.318333387,103.8174973,Red Junglefowl
14,11/05/2019,00:18:30,1.280931396,103.7933846,Red Junglefowl
15,22/06/2019,03:17:01,1.350963831,103.8067169,Red Junglefowl
16,30/07/2019,11:09:44,1.315000057,103.815834,Red Junglefowl
17,03/09/2019,23:44:00,1.300394058,103.7735596,Red Junglefowl
18,23/09/2019,07:15:00,1.329548567,103.8523479,Red Junglefowl
19,02/10/2019,05:01:50,1.203480331,103.6794674,Red Junglefowl
20,18/10/2019,02:55:20,1.377658367,103.9451523,Red Junglefowl
21,21/10/2019,03:49:56,1.373494387,103.9526901,Red Junglefowl
22,27/11/2019,05:54:06,1.353059731,103.8306898,Red Junglefowl
23,01/02/2020,07:37:33,1.321944475,103.8152771,Red Junglefowl
24,25/01/2020,03:24:05,1.379211209,103.946881,Red Junglefowl
25,08/02/2020,19:59:00,1.381871188,103.8223907,Red Junglefowl
26,10/02/2020,00:02:50,1.379356384,103.948349,Red Junglefowl
27,15/02/2020,03:40:00,1.307570668,103.8161451,Red Junglefowl
28,15/02/2020,05:10:38,1.314436666,103.8146766,Red Junglefowl
29,16/02/2020,00:15:20,1.37055552,103.8297195,Red Junglefowl
30,04/03/2020,09:41:43,1.300555556,103.775,Red Junglefowl
31,08/03/2020,10:53:06,1.322692666,103.8142864,Red Junglefowl
32,15/03/2020,00:57:53,1.360277778,103.8463889,Red Junglefowl
33,21/03/2020,02:06:11,1.375,103.9530556,Red Junglefowl
34,22/03/2020,01:53:12,1.3625,103.7683333,Red Junglefowl
35,07/04/2020,04:28:56,1.265970712,103.8033225,Red Junglefowl
36,07/04/2020,09:42:44,1.315431168,103.8158736,Red Junglefowl
37,07/04/2020,08:00:39,1.412827412,103.9577333,Red Junglefowl
38,20/05/2020,09:04:38,1.412129914,103.902634,Red Junglefowl
39,29/05/2020,00:28:49,1.38728968,103.7732727,Red Junglefowl
40,05/06/2020,04:08:24,1.283573715,103.8193447,Red Junglefowl
41,03/05/2020,09:30:00,1.376352131,103.9508671,Red Junglefowl
42,10/06/2020,06:08:29,1.386555305,103.773087,Red Junglefowl
43,23/04/2020,07:42:34,1.341696008,103.840966,Red Junglefowl
44,27/06/2020,01:30:09,1.361511012,103.8238307,Red Junglefowl
45,27/06/2020,02:42:40,1.372547171,103.9517214,Red Junglefowl
46,04/07/2020,01:41:09,1.367436886,103.8291321,Red Junglefowl
47,05/07/2020,07:01:01,1.330906404,103.8500865,Red Junglefowl
48,06/07/2020,03:03:39,1.313839696,103.8159135,Red Junglefowl
49,28/06/2020,10:05:11,1.35398383,103.8398907,Red Junglefowl
50,04/07/2020,,1.352998058,103.8198359,Red Junglefowl
51,12/07/2020,06:44:52,1.28171432,103.8190765,Red Junglefowl
52,12/07/2020,00:28:10,1.377607,103.94908,Red Junglefowl
53,15/07/2020,10:56:26,1.28398478,103.8203964,Red Junglefowl
54,02/08/2020,,1.294967536,103.7678533,Red Junglefowl
55,09/08/2020,01:32:07,1.288160814,103.869858,Red Junglefowl
56,10/08/2020,23:36:54,1.293274403,103.8300171,Red Junglefowl
57,10/08/2020,08:25:45,1.293897943,103.8466412,Red Junglefowl
58,15/08/2020,23:56:02,1.249404017,103.8303209,Red Junglefowl
59,24/08/2020,09:34:00,1.369934107,103.9513684,Red Junglefowl
60,30/08/2020,06:20:44,1.352844879,103.8274701,Red Junglefowl
61,31/12/2018,00:47:46,1.36586535,103.9538125,Red Junglefowl
62,06/09/2020,23:46:26,1.363408808,103.8435613,Red Junglefowl
63,17/09/2020,08:07:54,1.384657,103.943951,Red Junglefowl
64,28/09/2020,03:48:03,1.298681444,103.8468279,Red Junglefowl
65,08/10/2020,09:28:56,1.313871204,103.8159135,Red Junglefowl
66,11/10/2020,08:38:17,1.265938198,103.8033225,Red Junglefowl
67,11/10/2020,07:59:37,1.265938198,103.8033225,Red Junglefowl
68,19/07/2020,09:32:21,1.313839696,103.8159135,Red Junglefowl
69,15/10/2020,01:27:39,1.313839696,103.8159135,Red Junglefowl
70,17/10/2020,08:27:39,1.348542135,103.7641991,Red Junglefowl
71,17/10/2020,08:31:25,1.348542135,103.7641991,Red Junglefowl
72,17/10/2020,08:23:53,1.348542135,103.7641991,Red Junglefowl
73,17/10/2020,08:14:25,1.348542135,103.7641991,Red Junglefowl
74,18/10/2020,08:48:58,1.364379493,103.8395152,Red Junglefowl
75,01/11/2020,04:16:56,1.377642,103.948918,Red Junglefowl
76,14/11/2020,03:08:27,1.313839696,103.8159135,Red Junglefowl
77,01/12/2020,08:02:14,1.248292865,103.8006069,Red Junglefowl
78,08/12/2020,03:48:07,1.313871204,103.8159135,Red Junglefowl
79,06/12/2020,00:41:22,1.363408808,103.8435613,Red Junglefowl
80,12/12/2020,06:16:46,1.379118,103.950117,Red Junglefowl
81,13/12/2020,01:28:24,1.313839696,103.8159135,Red Junglefowl
